;BMA Resnik vs. Sim(seq);BMA Seco vs. Sim(seq);GIC Resnik vs. Sim(seq);GIC Seco vs. Sim(seq);BMA Resnik vs. Sim(Pfam);BMA Seco vs. Sim(Pfam);GIC Resnik vs. Sim(Pfam);GIC Seco vs. Sim(Pfam)
MF_ALL1;0.46611177;0.551522427;0.596750193;0.59186032;0.553111527;0.589245452;0.601283099;0.615554632
MF_ALL3;0.452721493;0.552020436;0.625048317;0.619143426;0.538871035;0.573672284;0.589626285;0.604815813
MF_DM1;0.324692094;0.363580317;0.525287467;0.531546687;0.443186106;0.481145679;0.624241907;0.637931132
MF_DM3;0.22584703;0.222760927;0.460683212;0.468908128;0.324747968;0.328792049;0.583704769;0.599624666
MF_EC1;0.372822036;0.3494383;0.38380077;0.386205481;0.555723614;0.549644197;0.433505226;0.455157776
MF_EC3;0.371510452;0.377452898;0.420968899;0.421336994;0.53382311;0.553329559;0.42832482;0.449815874
MF_HS1;0.653330423;0.734235461;0.764609879;0.768764574;0.693422229;0.733488919;0.648055274;0.663654946
MF_HS3;0.662337197;0.744736942;0.769787995;0.773637944;0.703326368;0.74439127;0.659738047;0.675097957
MF_SC1;0.520168588;0.584422926;0.660360637;0.641737483;0.630405226;0.601395791;0.555135386;0.568774576
MF_SC3;0.50843397;0.535210041;0.656737369;0.635803539;0.626926153;0.607862;0.533633134;0.54883183
