;BMA Resnik vs. Sim(seq);BMA Seco vs. Sim(seq);GIC Resnik vs. Sim(seq);GIC Seco vs. Sim(seq);BMA Resnik vs. PPI;BMA Seco vs. PPI;GIC Resnik vs. PPI;GIC Seco vs. PPI
PPi_ALL1;0.286798189;0.297313426;0.372363965;0.374956542;0.54318686;0.570514628;0.466352685;0.473194443
PPi_ALL3;0.322631598;0.343594692;0.438305366;0.440047336;0.517059682;0.549827127;0.437514981;0.444916571
PPi_DM1;0.407432781;0.423358138;0.474724107;0.487539743;0.858299435;0.841343756;0.717590256;0.719441972
PPi_DM3;0.489763521;0.516309707;0.495734437;0.51581377;0.804747754;0.802720106;0.688033205;0.689671833
PPi_EC1;0.198607703;0.238815365;0.218096295;0.228899296;0.699584689;0.709750454;0.609049567;0.624466485
PPi_EC3;0.143843752;0.182835341;0.172414003;0.180660164;0.673709725;0.689315028;0.590393281;0.603912556
PPi_HS1;0.419742416;0.407310911;0.555910862;0.549380407;0.489425995;0.50513969;0.378971743;0.38888841
PPi_HS3;0.425285063;0.414826105;0.567149049;0.560041708;0.492715842;0.50924692;0.38041542;0.390249551
PPi_SC1;0.241050153;0.236183426;0.299283884;0.3004986;0.645945686;0.633329859;0.562188539;0.562918462
PPi_SC3;0.270894469;0.27386964;0.351060224;0.353188539;0.619986141;0.61317947;0.53737154;0.537691609
